Fecha,Magnitud,Epicentro,Periodo,Mes,Mes_num,Entidad,Magnitud_cats
1900-01-20,7.4,"71 km al NOROESTE de AUTLAN DE NAVARRO, JAL",1900,ene,1,JAL,7 a 7.9
1900-05-16,6.9,"71 km al NOROESTE de AUTLAN DE NAVARRO, JAL",1900,may,5,JAL,6 a 6.9
1901-03-05,6.9,"100 km al NORESTE de LA PAZ, BCS",1901,mar,3,BCS,6 a 6.9
1901-12-08,7,"83 km al OESTE de AHOME, SIN",1901,dic,12,SIN,7 a 7.9
1902-01-16,7,"21 km al OESTE de ZUMPANGO DEL RIO, GRO",1902,ene,1,GRO,7 a 7.9
1902-04-18,7.5,"72 km al ESTE de CACAHOATAN, CHIS",1902,abr,4,CHIS,7 a 7.9
1902-09-23,7.7,"5 km al SUROESTE de TEOPISCA, CHIS",1902,sep,9,CHIS,7 a 7.9
1902-12-12,7.1,"115 km al NORTE de GUERRERO NEGRO, BCS",1902,dic,12,BCS,7 a 7.9
1903-01-13,7.6,"50 km al SUR de MAPASTEPEC, CHIS",1903,ene,1,CHIS,7 a 7.9
1905-10-24,6.6,"320 km al SUR de CABO SAN LUCAS, BCS",1905,oct,10,BCS,6 a 6.9
1905-12-16,7.1,"727 km al SUROESTE de CABO SAN LUCAS, BCS",1905,dic,12,BCS,7 a 7.9
1906-04-10,7.1,"320 km al SUR de CABO SAN LUCAS, BCS",1906,abr,4,BCS,7 a 7.9
1907-04-15,7.6,"23 km al SURESTE de SAN MARCOS, GRO",1907,abr,4,GRO,7 a 7.9
1907-10-16,7.1,"77 km al NOROESTE de SANTA ROSALIA, BCS",1907,oct,10,BCS,7 a 7.9
1908-03-26,7.5,"23 km al SURESTE de SAN MARCOS, GRO",1908,mar,3,GRO,7 a 7.9
1908-03-26,7,"46 km al SUROESTE de TECPAN, GRO",1908,mar,3,GRO,7 a 7.9
1908-10-12,6.9,"23 km al ESTE de LAS GUACAMAYAS, MICH",1908,oct,10,MICH,6 a 6.9
1909-07-30,7.2,"8 km al SUR de ACAPULCO, GRO",1909,jul,7,GRO,7 a 7.9
1909-07-31,6.9,"20 km al SUROESTE de SAN MARCOS, GRO",1909,jul,7,GRO,6 a 6.9
1909-09-05,6.6,"42 km al SURESTE de ACAPULCO, GRO",1909,sep,9,GRO,6 a 6.9
1909-10-31,6.9,"60 km al SUR de PETATLAN, GRO",1909,oct,10,GRO,6 a 6.9
1910-05-30,6.5,"23 km al SURESTE de SAN MARCOS, GRO",1910,may,5,GRO,6 a 6.9
1910-09-23,6.9,"65 km al SURESTE de TLACOLULA, OAX",1910,sep,9,OAX,6 a 6.9
1911-02-03,6.5,"19 km al ESTE de H HUAJUAPAN DE LEON, OAX",1911,feb,2,OAX,6 a 6.9
1911-06-07,7.6,"59 km al SUROESTE de CD LAZARO CARDENAS, MICH",1911,jun,6,MICH,7 a 7.9
1911-08-27,6.7,"51 km al ESTE de TLACOLULA, OAX",1911,ago,8,OAX,6 a 6.9
1911-12-16,7.5,"36 km al SUR de TECPAN, GRO",1911,dic,12,GRO,7 a 7.9
1912-11-19,6.9,"15 km al NORESTE de ATLACOMULCO, MEX",1912,nov,11,MEX,6 a 6.9
1912-12-09,7,"13 km al NOROESTE de MAPASTEPEC, CHIS",1912,dic,12,CHIS,7 a 7.9
1914-03-29,7.2,"14 km al NORESTE de OCOSINGO, CHIS",1914,mar,3,CHIS,7 a 7.9
1915-09-06,7.4,"348 km al ESTE de CD HIDALGO, CHIS",1915,sep,9,CHIS,7 a 7.9
1915-11-20,7,"33 km al SURESTE de GPE VICTORIA(KM.43), BC",1915,nov,11,BC,7 a 7.9
1916-06-02,7,"42 km al SUR de SAYULA DE ALEMAN, VER",1916,jun,6,VER,7 a 7.9
1916-11-21,6.8,"43 km al SUROESTE de TELOLOAPAN, GRO",1916,nov,11,GRO,6 a 6.9
1917-12-29,6.9,"96 km al SUR de PUERTO ESCONDIDO, OAX",1917,dic,12,OAX,6 a 6.9
1918-05-23,6.8,"102 km al SUR de H GUAYMAS, SON",1918,may,5,SON,6 a 6.9
1918-06-07,6.6,"17 km al SUROESTE de COALCOMAN, MICH",1918,jun,6,MICH,6 a 6.9
1919-04-17,6.9,"48 km al SURESTE de CD HIDALGO, CHIS",1919,abr,4,CHIS,6 a 6.9
1920-01-03,6.4,"13 km al NORTE de HUATUSCO, VER",1920,ene,1,VER,6 a 6.9
1920-04-19,6.7,"9 km al SURESTE de COSCOMATEPEC, VER",1920,abr,4,VER,6 a 6.9
1921-02-04,7.4,"125 km al ESTE de CACAHOATAN, CHIS",1921,feb,2,CHIS,7 a 7.9
1921-04-21,6.5,"65 km al SUR de COALCOMAN, MICH",1921,abr,4,MICH,6 a 6.9
1922-06-11,6.7,"117 km al SUROESTE de NAVOLATO, SIN",1922,jun,6,SIN,6 a 6.9
1925-08-07,6.7,"10 km al SURESTE de NUEVA ITALIA, MICH",1925,ago,8,MICH,6 a 6.9
1925-11-16,7,"291 km al SUROESTE de CIHUATLAN, JAL",1925,nov,11,JAL,7 a 7.9
1925-12-10,7,"31 km al NOROESTE de MOTOZINTLA, CHIS",1925,dic,12,CHIS,7 a 7.9
1928-02-09,6.5,"9 km al NORESTE de ACATLAN DE OSORIO, PUE",1928,feb,2,PUE,6 a 6.9
1928-03-21,7.5,"12 km al SURESTE de CRUCECITA, OAX",1928,mar,3,OAX,7 a 7.9
1928-04-16,6.7,"55 km al SUROESTE de TUXTEPEC, OAX",1928,abr,4,OAX,6 a 6.9
1928-06-16,7.6,"11 km al OESTE de MIAHUATLAN, OAX",1928,jun,6,OAX,7 a 7.9
1928-08-04,7.4,"49 km al SUR de H TLAXIACO, OAX",1928,ago,8,OAX,7 a 7.9
1928-10-08,7.5,"35 km al NORESTE de RIO GRANDE, OAX",1928,oct,10,OAX,7 a 7.9
1931-01-02,6.7,"257 km al SUROESTE de PUERTO VALLARTA, JAL",1931,ene,1,JAL,6 a 6.9
1931-01-14,7.8,"30 km al OESTE de MIAHUATLAN, OAX",1931,ene,1,OAX,7 a 7.9
1932-06-03,8.2,"4 km al SURESTE de CASIMIRO CASTILLO, JAL",1932,jun,6,JAL,8 a 9
1932-06-18,7.8,"14 km al SUROESTE de TUXPAN, JAL",1932,jun,6,JAL,7 a 7.9
1932-06-22,6.9,"52 km al SUROESTE de MANZANILLO, COL",1932,jun,6,COL,6 a 6.9
1932-07-07,6.7,"149 km al OESTE de M ALEMAN(LA DOCE), SON",1932,jul,7,SON,6 a 6.9
1932-07-12,6.7,"51 km al SUROESTE de HUATABAMPO, SON",1932,jul,7,SON,6 a 6.9
1932-07-25,6.9,"7 km al SUROESTE de TECOMAN, COL",1932,jul,7,COL,6 a 6.9
1932-12-07,6.8,"8 km al NOROESTE de CD DE ARMERIA, COL",1932,dic,12,COL,6 a 6.9
1933-04-08,6.6,"54 km al NOROESTE de CIHUATLAN, JAL",1933,abr,4,JAL,6 a 6.9
1933-05-08,6.9,"29 km al ESTE de PETATLAN, GRO",1933,may,5,GRO,6 a 6.9
1934-01-28,6.8,"9 km al ESTE de COYUCA DE BENITEZ, GRO",1934,ene,1,GRO,6 a 6.9
1934-11-29,7,"83 km al SUROESTE de CIHUATLAN, JAL",1934,nov,11,JAL,7 a 7.9
1934-12-31,7.1,"46 km al SURESTE de GPE VICTORIA(KM.43), BC",1934,dic,12,BC,7 a 7.9
1935-06-29,6.9,"36 km al OESTE de COALCOMAN, MICH",1935,jun,6,MICH,6 a 6.9
1935-12-14,7.3,"31 km al SUROESTE de TAPACHULA, CHIS",1935,dic,12,CHIS,7 a 7.9
1937-07-25,7.3,"24 km al NORTE de TRES VALLES, VER",1937,jul,7,VER,7 a 7.9
1937-10-06,6.9,"20 km al NORTE de CHILAPA DE ALVAREZ, GRO",1937,oct,10,GRO,6 a 6.9
1937-12-23,7.4,"46 km al SUROESTE de H TLAXIACO, OAX",1937,dic,12,OAX,7 a 7.9
1937-12-25,6.5,"54 km al SUROESTE de RIO GRANDE, OAX",1937,dic,12,OAX,6 a 6.9
1939-05-02,6.7,"179 km al NORESTE de GUERRERO NEGRO, BCS",1939,may,5,BCS,6 a 6.9
1939-12-05,6.7,"73 km al SURESTE de CD HIDALGO, CHIS",1939,dic,12,CHIS,6 a 6.9
1940-05-18,7.1,"5 km al NOROESTE de MEXICALI, BC",1940,may,5,BC,7 a 7.9
1940-07-27,6.7,"85 km al SURESTE de CD HIDALGO, CHIS",1940,jul,7,CHIS,6 a 6.9
1941-04-15,7.6,"25 km al NORESTE de COALCOMAN, MICH",1941,abr,4,MICH,7 a 7.9
1942-06-20,6.7,"43 km al NORTE de HUETAMO, MICH",1942,jun,6,MICH,6 a 6.9
1942-08-06,7.9,"93 km al ESTE de CD HIDALGO, CHIS",1942,ago,8,CHIS,7 a 7.9
1942-11-11,6.7,"75 km al SUR de LAS CHOAPAS, VER",1942,nov,11,VER,6 a 6.9
1943-02-22,7.4,"20 km al NORESTE de PETATLAN, GRO",1943,feb,2,GRO,7 a 7.9
1943-08-31,6.7,"85 km al SURESTE de CD HIDALGO, CHIS",1943,ago,8,CHIS,6 a 6.9
1943-09-23,6.7,"71 km al ESTE de CACAHOATAN, CHIS",1943,sep,9,CHIS,6 a 6.9
1944-01-10,6.5,"46 km al SUROESTE de TECPAN, GRO",1944,ene,1,GRO,6 a 6.9
1944-06-28,7.1,"16 km al SUR de HUIXTLA, CHIS",1944,jun,6,CHIS,7 a 7.9
1945-06-27,6.8,"102 km al SUR de H GUAYMAS, SON",1945,jun,6,SON,6 a 6.9
1945-06-29,6.7,"841 km al SUROESTE de CABO SAN LUCAS, BCS",1945,jun,6,BCS,6 a 6.9
1945-10-11,6.5,"31 km al SUROESTE de TEHUACAN, PUE",1945,oct,10,PUE,6 a 6.9
1945-10-27,6.7,"98 km al ESTE de CACAHOATAN, CHIS",1945,oct,10,CHIS,6 a 6.9
1946-06-06,6.5,"31 km al NOROESTE de ARRIAGA , CHIS",1946,jun,6,CHIS,6 a 6.9
1946-07-10,6.9,"59 km al ESTE de MATIAS ROMERO, OAX",1946,jul,7,OAX,6 a 6.9
1948-01-06,6.9,"45 km al SUROESTE de H TLAXIACO, OAX",1948,ene,1,OAX,6 a 6.9
1948-01-06,7,"45 km al SUROESTE de H TLAXIACO, OAX",1948,ene,1,OAX,7 a 7.9
1948-08-11,6.5,"31 km al SURESTE de J RODRIGUEZ CLARA, VER",1948,ago,8,VER,6 a 6.9
1948-12-03,6.9,"116 km al SUROESTE de TECUALA, NAY",1948,dic,12,"NAY",6 a 6.9
1950-09-29,7,"257 km al SUROESTE de PUERTO VALLARTA, JAL",1950,sep,9,JAL,7 a 7.9
1950-10-21,6.6,"225 km al SUROESTE de CIHUATLAN, JAL",1950,oct,10,JAL,6 a 6.9
1950-10-23,7.2,"56 km al SURESTE de CD HIDALGO, CHIS",1950,oct,10,CHIS,7 a 7.9
1950-11-17,6.6,"33 km al NORTE de ATOYAC DE ALVAREZ, GRO",1950,nov,11,GRO,6 a 6.9
1950-12-14,7.2,"47 km al OESTE de H TLAXIACO, OAX",1950,dic,12,OAX,7 a 7.9
1951-12-11,7,"59 km al ESTE de MATIAS ROMERO, OAX",1951,dic,12,OAX,7 a 7.9
1951-12-28,6.8,"39 km al NOROESTE de OMETEPEC, GRO",1951,dic,12,GRO,6 a 6.9
1953-08-24,6.7,"103 km al SURESTE de CD HIDALGO, CHIS",1953,ago,8,CHIS,6 a 6.9
1953-12-01,6.7,"57 km al SUROESTE de OMETEPEC, GRO",1953,dic,12,GRO,6 a 6.9
1954-04-29,7,"120 km al NORESTE de GUERRERO NEGRO, BCS",1954,abr,4,BCS,7 a 7.9
1955-04-05,6.6,"100 km al NORESTE de LA PAZ, BCS",1955,abr,4,BCS,6 a 6.9
1955-08-28,6.6,"145 km al SURESTE de CD HIDALGO, CHIS",1955,ago,8,CHIS,6 a 6.9
1955-09-26,6.9,"31 km al NOROESTE de MOTOZINTLA, CHIS",1955,sep,9,CHIS,6 a 6.9
1956-02-09,6.7,"75 km al ESTE de RODOLFO SANCHEZ T(MRO), BC",1956,feb,2,BC,6 a 6.9
1957-04-09,6.7,"93 km al SUR de PINOTEPA NACIONAL, OAX",1957,abr,4,OAX,6 a 6.9
1957-07-28,7.8,"47 km al NORESTE de SAN MARCOS, GRO",1957,jul,7,GRO,7 a 7.9
1959-05-24,6.8,"28 km al SURESTE de TEPELMEME, OAX",1959,may,5,OAX,6 a 6.9
1959-08-26,6.4,"12 km al NORTE de ALLENDE, VER",1959,ago,8,VER,6 a 6.9
1960-07-13,6.9,"59 km al ESTE de MATIAS ROMERO, OAX",1960,jul,7,OAX,6 a 6.9
1961-09-01,6.6,"141 km al SUROESTE de CD HIDALGO, CHIS",1961,sep,9,CHIS,6 a 6.9
1962-05-11,7.1,"34 km al SUR de CHILPANCINGO, GRO",1962,may,5,GRO,7 a 7.9
1962-05-19,7,"41 km al NOROESTE de SAN MARCOS, GRO",1962,may,5,GRO,7 a 7.9
1963-11-18,6.5,"182 km al SUR de PUERTO PEÑASCO, SON",1963,nov,11,SON,6 a 6.9
1964-07-05,6.5,"85 km al SUROESTE de HUATABAMPO, SON",1964,jul,7,SON,6 a 6.9
1964-07-06,7.2,"38 km al SUROESTE de CD ALTAMIRANO, GRO",1964,jul,7,GRO,7 a 7.9
1965-08-23,7.4,"53 km al NORESTE de CRUCECITA, OAX",1965,ago,8,OAX,7 a 7.9
1965-12-09,6.5,"27 km al NORTE de COYUCA DE BENITEZ, GRO",1965,dic,12,GRO,6 a 6.9
1968-07-01,6.7,"38 km al NORESTE de ATOYAC DE ALVAREZ, GRO",1968,jul,7,GRO,6 a 6.9
1968-08-02,7.3,"39 km al NORESTE de PINOTEPA NACIONAL, OAX",1968,ago,8,OAX,7 a 7.9
1968-11-28,6.6,"114 km al SURESTE de SALINA CRUZ, OAX",1968,nov,11,OAX,6 a 6.9
1969-08-17,6.5,"65 km al SUROESTE de LOS MOCHIS, SIN",1969,ago,8,SIN,6 a 6.9
1969-08-17,6.7,"93 km al SUROESTE de LOS MOCHIS, SIN",1969,ago,8,SIN,6 a 6.9
1969-11-01,6.6,"144 km al SUROESTE de LA CRUZ, SIN",1969,nov,11,SIN,6 a 6.9
1970-02-03,6.6,"141 km al SUR de SAN MARCOS, GRO",1970,feb,2,GRO,6 a 6.9
1970-04-29,7.3,"62 km al SUROESTE de CD HIDALGO, CHIS",1970,abr,4,CHIS,7 a 7.9
1970-04-30,6.5,"100 km al SUROESTE de MAPASTEPEC, CHIS",1970,abr,4,CHIS,6 a 6.9
1971-09-30,6.5,"92 km al SUROESTE de PUEBLO YAQUI, SON",1971,sep,9,SON,6 a 6.9
1972-10-20,6.6,"238 km al OESTE de CIHUATLAN, JAL",1972,oct,10,JAL,6 a 6.9
1972-11-12,6.5,"73 km al SUR de SALINA CRUZ, OAX",1972,nov,11,OAX,6 a 6.9
1973-01-30,7.6,"43 km al SURESTE de COALCOMAN, MICH",1973,ene,1,MICH,7 a 7.9
1973-08-28,7.3,"30 km al SUROESTE de TIERRA BLANCA, VER",1973,ago,8,VER,7 a 7.9
1974-01-03,4.3,"317 km al SUROESTE de PUERTO VALLARTA, JAL",1974,ene,1,JAL,4 a 4.9
1974-01-04,4.8,"144 km al SUROESTE de MAPASTEPEC, CHIS",1974,ene,1,CHIS,4 a 4.9
1974-01-05,4.3,"88 km al SUROESTE de CD HIDALGO, CHIS",1974,ene,1,CHIS,4 a 4.9
1974-01-11,4.4,"172 km al SURESTE de CD HIDALGO, CHIS",1974,ene,1,CHIS,4 a 4.9
1974-01-17,4.6,"450 km al SURESTE de CD HIDALGO, CHIS",1974,ene,1,CHIS,4 a 4.9
1974-01-20,4.5,"63 km al SURESTE de SALINA CRUZ, OAX",1974,ene,1,OAX,4 a 4.9
1974-01-21,5,"102 km al SUROESTE de MAPASTEPEC, CHIS",1974,ene,1,CHIS,5 a 5.9
1974-01-25,5.1,"63 km al SUROESTE de COALCOMAN, MICH",1974,ene,1,MICH,5 a 5.9
1974-01-31,4.1,"12 km al OESTE de GPE VICTORIA(KM.43), BC",1974,ene,1,BC,4 a 4.9
1974-02-02,5.1,"69 km al SURESTE de CD HIDALGO, CHIS",1974,feb,2,CHIS,5 a 5.9
1974-02-02,4.6,"28 km al NOROESTE de SAN MARCOS, GRO",1974,feb,2,GRO,4 a 4.9
1974-02-08,4.4,"119 km al SUROESTE de H CABORCA, SON",1974,feb,2,SON,4 a 4.9
1974-02-09,4.8,"35 km al SUROESTE de HUIXTLA, CHIS",1974,feb,2,CHIS,4 a 4.9
1974-02-23,5.1,"30 km al SUR de PINOTEPA NACIONAL, OAX",1974,feb,2,OAX,5 a 5.9
1974-02-23,5.3,"80 km al SUROESTE de PINOTEPA NACIONAL, OAX",1974,feb,2,OAX,5 a 5.9
1974-03-02,4.6,"118 km al SURESTE de CD HIDALGO, CHIS",1974,mar,3,CHIS,4 a 4.9
1974-03-02,4.4,"380 km al SUR de CABO SAN LUCAS, BCS",1974,mar,3,BCS,4 a 4.9
1974-03-04,4.5,"210 km al SURESTE de CD HIDALGO, CHIS",1974,mar,3,CHIS,4 a 4.9
1974-03-04,4.6,"201 km al SURESTE de CD HIDALGO, CHIS",1974,mar,3,CHIS,4 a 4.9
1974-03-05,4.3,"215 km al SURESTE de CD HIDALGO, CHIS",1974,mar,3,CHIS,4 a 4.9
1974-03-06,4.3,"72 km al SURESTE de SALINA CRUZ, OAX",1974,mar,3,OAX,4 a 4.9
1974-03-07,4.5,"71 km al NORESTE de CD HIDALGO, CHIS",1974,mar,3,CHIS,4 a 4.9
1974-03-13,4.9,"286 km al SURESTE de CD HIDALGO, CHIS",1974,mar,3,CHIS,4 a 4.9
1974-03-21,4.4,"229 km al SUROESTE de MANZANILLO, COL",1974,mar,3,COL,4 a 4.9
1974-03-21,4.3,"238 km al SURESTE de CD HIDALGO, CHIS",1974,mar,3,CHIS,4 a 4.9
1974-03-23,4.3,"111 km al SUR de PUERTO PEÑASCO, SON",1974,mar,3,SON,4 a 4.9
1974-03-25,4.7,"75 km al SUR de COALCOMAN, MICH",1974,mar,3,MICH,4 a 4.9
1974-03-28,4.4,"214 km al SUROESTE de CIHUATLAN, JAL",1974,mar,3,JAL,4 a 4.9
1974-04-02,4.6,"239 km al SURESTE de CD HIDALGO, CHIS",1974,abr,4,CHIS,4 a 4.9
1974-04-10,4.2,"12 km al SURESTE de MINATITLAN, VER",1974,abr,4,VER,4 a 4.9
1974-04-10,5.4,"58 km al SURESTE de CD HIDALGO, CHIS",1974,abr,4,CHIS,5 a 5.9
1974-04-14,5.3,"91 km al ESTE de CD HIDALGO, CHIS",1974,abr,4,CHIS,5 a 5.9
1974-04-14,4.3,"365 km al SUR de CABO SAN LUCAS, BCS",1974,abr,4,BCS,4 a 4.9
1974-04-14,4.3,"333 km al SURESTE de CABO SAN LUCAS, BCS",1974,abr,4,BCS,4 a 4.9
1974-04-15,4.8,"379 km al SUR de CABO SAN LUCAS, BCS",1974,abr,4,BCS,4 a 4.9
1974-04-15,4.3,"20 km al SUROESTE de TONALA, CHIS",1974,abr,4,CHIS,4 a 4.9
1974-04-20,4.7,"298 km al SURESTE de CD HIDALGO, CHIS",1974,abr,4,CHIS,4 a 4.9
1974-04-22,4.4,"171 km al SUROESTE de H CABORCA, SON",1974,abr,4,SON,4 a 4.9
1974-04-23,4.8,"52 km al ESTE de CACAHOATAN, CHIS",1974,abr,4,CHIS,4 a 4.9
1974-05-01,4.7,"182 km al SURESTE de CD HIDALGO, CHIS",1974,may,5,CHIS,4 a 4.9
1974-05-01,4.6,"197 km al SURESTE de CD HIDALGO, CHIS",1974,may,5,CHIS,4 a 4.9
1974-05-03,4.7,"90 km al SUR de CD HIDALGO, CHIS",1974,may,5,CHIS,4 a 4.9
1974-05-03,4.9,"97 km al SUROESTE de PIJIJIAPAN, CHIS",1974,may,5,CHIS,4 a 4.9
1974-05-04,4.5,"193 km al SURESTE de CD HIDALGO, CHIS",1974,may,5,CHIS,4 a 4.9
1974-05-05,4.5,"91 km al SUROESTE de PIJIJIAPAN, CHIS",1974,may,5,CHIS,4 a 4.9
1974-05-11,4.3,"72 km al SURESTE de TLACOLULA, OAX",1974,may,5,OAX,4 a 4.9
1974-05-24,4.3,"389 km al SUROESTE de LA MIRA, MICH",1974,may,5,MICH,4 a 4.9
1974-05-26,5.3,"12 km al NORESTE de TLAPA, GRO",1974,may,5,GRO,5 a 5.9
1974-05-29,4.3,"421 km al SUROESTE de CD DE ARMERIA, COL",1974,may,5,COL,4 a 4.9
1974-05-31,6.3,"83 km al SUROESTE de H GUAYMAS, SON",1974,may,5,SON,6 a 6.9
1974-06-01,4.3,"85 km al SUROESTE de H GUAYMAS, SON",1974,jun,6,SON,4 a 4.9
1974-06-06,4.2,"123 km al SUROESTE de TONALA, CHIS",1974,jun,6,CHIS,4 a 4.9
1974-06-12,5.1,"23 km al ESTE de SAN MARCOS, GRO",1974,jun,6,GRO,5 a 5.9
1974-06-12,4.6,"10 km al NORESTE de PINOTEPA NACIONAL, OAX",1974,jun,6,OAX,4 a 4.9
1974-06-13,5,"52 km al ESTE de OMETEPEC, GRO",1974,jun,6,GRO,5 a 5.9
1974-06-14,4.1,"34 km al SUR de TEPALCATEPEC, MICH",1974,jun,6,MICH,4 a 4.9
1974-06-20,5.1,"51 km al SUROESTE de TLAPA, GRO",1974,jun,6,GRO,5 a 5.9
1974-06-21,4.2,"240 km al ESTE de CD HIDALGO, CHIS",1974,jun,6,CHIS,4 a 4.9
1974-06-22,4.6,"31 km al ESTE de CHILAPA DE ALVAREZ, GRO",1974,jun,6,GRO,4 a 4.9
1974-06-24,5.3,"85 km al SUR de SALINA CRUZ, OAX",1974,jun,6,OAX,5 a 5.9
1974-06-25,5.6,"80 km al SURESTE de CRUCECITA, OAX",1974,jun,6,OAX,5 a 5.9
1974-06-25,4.5,"13 km al NOROESTE de CD IXTEPEC, OAX",1974,jun,6,OAX,4 a 4.9
1974-06-25,4.8,"63 km al SUR de SALINA CRUZ, OAX",1974,jun,6,OAX,4 a 4.9
1974-07-01,4.2,"16 km al NORESTE de LAS GUACAMAYAS, MICH",1974,jul,7,MICH,4 a 4.9
1974-07-04,4.6,"42 km al SUROESTE de CD ALTAMIRANO, GRO",1974,jul,7,GRO,4 a 4.9
1974-07-15,4.6,"144 km al NORESTE de GUERRERO NEGRO, BCS",1974,jul,7,BCS,4 a 4.9
1974-07-17,4,"61 km al OESTE de HUETAMO, MICH",1974,jul,7,MICH,4 a 4.9
1974-07-18,5.6,"23 km al NOROESTE de OMETEPEC, GRO",1974,jul,7,GRO,5 a 5.9
1974-07-19,4.5,"74 km al SUROESTE de CD HIDALGO, CHIS",1974,jul,7,CHIS,4 a 4.9
1974-07-21,5.3,"50 km al SUROESTE de CD HIDALGO, CHIS",1974,jul,7,CHIS,5 a 5.9
1974-07-21,4.8,"44 km al SUR de CD HIDALGO, CHIS",1974,jul,7,CHIS,4 a 4.9
1974-07-23,4.9,"12 km al ESTE de EL GRULLO, JAL",1974,jul,7,JAL,4 a 4.9
1974-07-25,4.5,"4 km al SURESTE de SOLEDAD DE DOBLADO, VER",1974,jul,7,VER,4 a 4.9
1974-07-27,4.3,"86 km al SUROESTE de H GUAYMAS, SON",1974,jul,7,SON,4 a 4.9
1974-07-27,4.2,"4 km al NORESTE de PETATLAN, GRO",1974,jul,7,GRO,4 a 4.9
1974-07-28,4.5,"13 km al NOROESTE de PETATLAN, GRO",1974,jul,7,GRO,4 a 4.9
1974-08-12,5.1,"31 km al NORESTE de ATOYAC DE ALVAREZ, GRO",1974,ago,8,GRO,5 a 5.9
1974-08-18,4.8,"175 km al SURESTE de SAN JOSE DEL CABO, BCS",1974,ago,8,BCS,4 a 4.9
1974-08-19,4.4,"97 km al SUROESTE de MAPASTEPEC, CHIS",1974,ago,8,CHIS,4 a 4.9
1974-08-26,5.1,"108 km al SURESTE de LAS MARGARITAS, CHIS",1974,ago,8,CHIS,5 a 5.9
1974-09-01,4.9,"382 km al SURESTE de CD HIDALGO, CHIS",1974,sep,9,CHIS,4 a 4.9
1974-09-02,4.6,"224 km al SURESTE de CD HIDALGO, CHIS",1974,sep,9,CHIS,4 a 4.9
1974-09-03,4.3,"137 km al SUROESTE de CD HIDALGO, CHIS",1974,sep,9,CHIS,4 a 4.9
1974-09-05,4.6,"49 km al SURESTE de OCOSINGO, CHIS",1974,sep,9,CHIS,4 a 4.9
1974-09-07,4.3,"10 km al SURESTE de ACAPULCO, GRO",1974,sep,9,GRO,4 a 4.9
1974-09-12,5,"274 km al SURESTE de CD HIDALGO, CHIS",1974,sep,9,CHIS,5 a 5.9
1974-09-12,4.6,"21 km al OESTE de SANTA ROSALIA, BCS",1974,sep,9,BCS,4 a 4.9
1974-09-20,4.1,"64 km al NOROESTE de PARAISO, TAB",1974,sep,9,TAB,4 a 4.9
1974-09-20,5,"152 km al SURESTE de CD HIDALGO, CHIS",1974,sep,9,CHIS,5 a 5.9
1974-09-25,4.5,"110 km al SUR de SALINA CRUZ, OAX",1974,sep,9,OAX,4 a 4.9
1974-10-06,5.5,"20 km al SUR de ACAPULCO, GRO",1974,oct,10,GRO,5 a 5.9
1974-10-10,4.8,"42 km al SUROESTE de SAN MARCOS, GRO",1974,oct,10,GRO,4 a 4.9
1974-10-11,4.1,"78 km al ESTE de CD HIDALGO, CHIS",1974,oct,10,CHIS,4 a 4.9
1974-10-16,4.6,"67 km al NORESTE de LORETO, BCS",1974,oct,10,BCS,4 a 4.9
1974-10-17,4.4,"123 km al SURESTE de CD HIDALGO, CHIS",1974,oct,10,CHIS,4 a 4.9
1974-10-17,4.6,"159 km al SUROESTE de CD HIDALGO, CHIS",1974,oct,10,CHIS,4 a 4.9
1974-10-23,4.6,"168 km al ESTE de CD HIDALGO, CHIS",1974,oct,10,CHIS,4 a 4.9
1974-10-24,6,"34 km al NOROESTE de PIJIJIAPAN, CHIS",1974,oct,10,CHIS,6 a 6.9
1974-10-29,4.6,"6 km al NORTE de IGUALA, GRO",1974,oct,10,GRO,4 a 4.9
1974-11-11,4.3,"203 km al SURESTE de CD HIDALGO, CHIS",1974,nov,11,CHIS,4 a 4.9
1974-11-12,4.3,"25 km al SUROESTE de CD ALTAMIRANO, GRO",1974,nov,11,GRO,4 a 4.9
1974-11-17,5.1,"11 km al SUROESTE de COYUCA DE BENITEZ, GRO",1974,nov,11,GRO,5 a 5.9
1974-11-17,4.7,"61 km al SUROESTE de ACAPULCO, GRO",1974,nov,11,GRO,4 a 4.9
1974-11-22,4.9,"42 km al NOROESTE de SAN FELIPE, BC",1974,nov,11,BC,4 a 4.9
1974-11-23,4.3,"28 km al SURESTE de OCOTLAN DE MORELOS, OAX",1974,nov,11,OAX,4 a 4.9
1974-11-25,4.3,"17 km al SUR de CHILAPA DE ALVAREZ, GRO",1974,nov,11,GRO,4 a 4.9
1974-11-27,4.7,"47 km al ESTE de MATIAS ROMERO, OAX",1974,nov,11,OAX,4 a 4.9
1974-12-02,5.2,"69 km al ESTE de CD HIDALGO, CHIS",1974,dic,12,CHIS,5 a 5.9
1974-12-06,4.8,"9 km al NORESTE de MEXICALI, BC",1974,dic,12,BC,4 a 4.9
1974-12-17,5.3,"430 km al SURESTE de CD HIDALGO, CHIS",1974,dic,12,CHIS,5 a 5.9
1974-12-18,4.7,"61 km al SUROESTE de TONALA, CHIS",1974,dic,12,CHIS,4 a 4.9
1974-12-23,5.4,"228 km al ESTE de CD HIDALGO, CHIS",1974,dic,12,CHIS,5 a 5.9
1974-12-26,4.6,"18 km al OESTE de PINOTEPA NACIONAL, OAX",1974,dic,12,OAX,4 a 4.9
1974-12-28,4.7,"17 km al NOROESTE de VICENTE GUERRERO, BC",1974,dic,12,BC,4 a 4.9
